customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5575-GNVDE,Male,0,No,No,34,Yes,DSL,One year,No,Mailed check,56.95,1889.5,No
7795-CFOCW,Male,0,No,No,45,No,DSL,One year,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,0,No,No,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,0,No,Yes,22,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
7892-POOKP,Female,0,Yes,No,28,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
5129-JLPIS,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,Yes,Electronic check,105.5,2686.05,No
8191-XWSZG,Female,0,No,No,52,Yes,No,One year,No,Mailed check,20.65,1022.95,No
9959-WOFKT,Male,0,No,Yes,71,Yes,Fiber optic,Two year,No,Bank transfer (automatic),106.7,7382.25,No
4183-MYFRB,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.05,1862.9,No
1066-JKSGK,Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.15,20.15,Yes
3638-WEABW,Female,0,Yes,No,58,Yes,DSL,Two year,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,DSL,Month-to-month,No,Credit card (automatic),59.6,2970.3,No
5248-YGIJN,Male,0,Yes,No,72,Yes,DSL,Two year,Yes,Credit card (automatic),90.25,6369.45,No
3841-NFECX,Female,1,Yes,No,71,Yes,Fiber optic,Two year,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,Male,1,Yes,No,2,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No
7310-EGVHZ,Male,0,No,No,1,Yes,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No
5380-WJKOV,Male,0,No,No,34,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,One year,No,Mailed check,20.75,418.25,No
4080-IIARD,Female,0,Yes,No,13,Yes,DSL,Month-to-month,Yes,Electronic check,76.2,981.45,No
7760-OYPDY,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.65,144.15,Yes
2954-PIBKO,Female,0,Yes,Yes,69,Yes,DSL,Two year,Yes,Credit card (automatic),64.15,4254.1,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
5954-BDFSG,Female,0,No,No,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),107.5,7853.7,No
5122-CYFXA,Female,0,No,No,3,Yes,DSL,Month-to-month,Yes,Electronic check,75.3,244.1,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,Two year,No,Bank transfer (automatic),20.15,930.9,No
2673-CXQEU,Female,1,No,No,56,Yes,Fiber optic,One year,No,Electronic check,110.5,6139.5,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,DSL,Month-to-month,No,Mailed check,54.65,482.25,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,No,One year,Yes,Credit card (automatic),25.9,1216.6,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,DSL,Two year,Yes,Mailed check,84,5714.25,No
9848-JQJTX,Male,0,No,No,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No
9803-FTJCG,Male,0,Yes,Yes,71,Yes,DSL,One year,Yes,Credit card (automatic),66.85,4748.7,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,Month-to-month,No,Electronic check,19.45,19.45,No
8597-CWYHH,Male,0,No,No,43,Yes,Fiber optic,One year,No,Mailed check,94.35,3921.3,No
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,Two year,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Male,0,Yes,No,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,DSL,One year,No,Credit card (automatic),57.95,3042.25,No
4846-WHAFZ,Female,1,Yes,No,37,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,Female,0,Yes,Yes,64,No,DSL,Two year,Yes,Electronic check,54.6,3423.5,No
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,Female,0,No,No,6,Yes,No,Month-to-month,No,Mailed check,20.7,112.75,No
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,Month-to-month,No,Mailed check,20.85,62.9,No
4412-YLTKF,Female,1,No,No,27,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes
2639-UGMAZ,Male,1,No,No,71,No,DSL,One year,Yes,Electronic check,56.45,3985.35,No
2876-GZYZC,Female,0,No,No,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.95,1215.65,No
6207-WIOLX,Female,0,Yes,Yes,25,No,DSL,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes
7850-VWJUU,Female,0,No,No,23,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,Two year,No,Mailed check,20.2,1277.75,No
6837-BJYDQ,Male,0,No,No,3,Yes,No,One year,No,Mailed check,19.6,61.35,No
2135-RXIHG,Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,DSL,Two year,No,Electronic check,86.1,5215.25,No
9167-APMXZ,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No
8992-VONJD,Female,0,No,Yes,13,Yes,DSL,Month-to-month,Yes,Electronic check,56,764.55,No
1159-WFSGR,Female,0,Yes,Yes,16,Yes,No,Month-to-month,No,Electronic check,20.4,321.4,No
1875-QIVME,Female,0,Yes,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
6727-IOTLZ,Male,0,Yes,No,14,Yes,DSL,Two year,No,Mailed check,81.95,1181.75,No
0691-JVSYA,Female,0,Yes,No,53,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
1744-JHKYS,Female,0,Yes,No,34,Yes,No,Month-to-month,No,Electronic check,24.7,780.2,No
2656-FMOKZ,Female,1,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes
2070-FNEXE,Female,1,No,No,7,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes
5947-SGKCL,Female,0,Yes,Yes,15,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,Male,0,Yes,No,61,Yes,No,One year,Yes,Credit card (automatic),20.55,1252,No
1918-ZBFQJ,Female,0,No,No,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes
4827-USJHP,Male,0,No,No,20,Yes,DSL,Month-to-month,Yes,Mailed check,51.8,1023.85,No
8167-GJLRN,Male,0,No,No,3,No,DSL,Month-to-month,No,Electronic check,30.4,82.15,No
9680-NIAUV,Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,No,Credit card (automatic),109.7,8129.3,No
7255-SSFBC,Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),112.25,8041.65,No
9323-HGFWY,Female,0,Yes,No,27,Yes,Fiber optic,One year,Yes,Credit card (automatic),101.9,2681.15,No
3363-DTIVD,Male,0,Yes,Yes,71,Yes,Fiber optic,Two year,No,Electronic check,105.55,7405.5,No
7841-TZDMQ,Male,0,No,No,2,Yes,DSL,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes
4709-LKHYG,Female,0,Yes,Yes,29,Yes,No,One year,No,Electronic check,20,540.05,No
2040-LDIWQ,Male,0,Yes,Yes,65,Yes,DSL,Two year,Yes,Bank transfer (automatic),84.2,5324.5,No
6778-JFCMK,Male,0,No,No,24,No,DSL,One year,Yes,Mailed check,50.6,1288.75,No
4811-JBUVU,Male,0,No,No,30,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,No
9903-LYSAB,Male,0,Yes,No,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.15,1305.95,No
9058-HRZSV,Female,1,Yes,No,65,Yes,Fiber optic,Month-to-month,No,Electronic check,94.4,6126.15,No
4522-AKYLR,Female,1,No,No,13,Yes,DSL,Month-to-month,Yes,Electronic check,54.8,731.3,No
0221-WMXNQ,Male,1,No,No,4,Yes,Fiber optic,Month-to-month,No,Electronic check,75.35,273.4,No
0322-YINQP,Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Mailed check,48.55,48.55,Yes
3282-ZISZV,Male,0,No,Yes,32,Yes,DSL,One year,No,Credit card (automatic),83.7,2633.3,No
4111-BNXIF,Female,0,Yes,Yes,67,No,DSL,Two year,Yes,Electronic check,59.55,4103.9,No
7017-VFHAY,Female,0,Yes,Yes,61,Yes,Fiber optic,Two year,No,Credit card (automatic),115.1,7008.15,No
7529-ZDFXI,Male,1,Yes,No,57,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.85,4925.35,No
7605-BDWDC,Female,0,No,No,31,No,DSL,Two year,Yes,Bank transfer (automatic),49.85,1520.1,No
3197-ARFOY,Female,1,No,No,19,Yes,Fiber optic,Month-to-month,Yes,Mailed check,105,2007.25,No
7014-ZZXAW,Female,0,Yes,No,71,Yes,No,Two year,Yes,Credit card (automatic),24.25,1732.95,No
6366-ZGQGL,Male,0,No,No,1,No,DSL,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes
4716-HHKQH,Male,1,Yes,No,20,Yes,Fiber optic,Month-to-month,No,Electronic check,107.05,2172.05,No
3808-HFKDE,Female,0,No,No,20,Yes,DSL,Month-to-month,Yes,Electronic check,44.35,927.15,No
3488-PGMQJ,Male,1,No,No,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.5,606.55,Yes
7534-BFESC,Male,1,No,No,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes
2294-SALNE,Male,0,Yes,Yes,23,Yes,Fiber optic,One year,No,Mailed check,86.8,1940.8,No
8203-XJZRC,Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.25,20.25,No
0895-LMRSF,Male,0,No,No,23,Yes,DSL,One year,Yes,Bank transfer (automatic),64.9,1509.8,No
1248-DYXUB,Male,0,Yes,Yes,52,Yes,No,Two year,No,Mailed check,24.8,1229.1,No
2739-CACDQ,Female,1,No,No,17,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,No
9498-FIMXL,Female,0,No,No,8,Yes,No,One year,Yes,Mailed check,19.2,161.95,No
4322-RCYMT,Male,0,Yes,Yes,68,Yes,DSL,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes
7982-VCELR,Female,0,No,No,36,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.8,3565.65,No
0021-IKXGC,Female,1,No,No,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,72.1,72.1,No
8966-SNIZF,Female,0,Yes,No,70,Yes,No,Two year,No,Bank transfer (automatic),19.45,1303.5,No
0513-RBGPE,Male,0,Yes,Yes,37,Yes,DSL,Two year,Yes,Credit card (automatic),62.8,2278.75,No
4115-NZRKS,Female,1,No,No,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.15,574.35,No
0219-YTZUE,Male,0,Yes,Yes,4,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes
0623-IIHUG,Female,1,No,No,21,No,DSL,Month-to-month,Yes,Electronic check,41.9,840.1,Yes
3351-NGXYI,Female,1,No,No,16,Yes,DSL,Month-to-month,Yes,Electronic check,54.1,889,No
9057-MSWCO,Male,1,Yes,No,27,No,DSL,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes
1010-DIAUQ,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes
9571-EDEBV,Male,0,Yes,No,71,Yes,Fiber optic,One year,Yes,Credit card (automatic),98.65,6962.85,No
3520-FJGCV,Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),112.6,8126.65,No
6563-VRERX,Male,0,Yes,Yes,33,Yes,No,One year,No,Mailed check,20.6,690.25,No
0259-GBZSH,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.65,181.5,Yes
7156-MXBJE,Female,0,No,No,43,Yes,DSL,One year,No,Credit card (automatic),85.1,3662.25,No
5651-CRHKQ,Female,0,Yes,No,41,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),86.2,3339.05,No
